epoch,mean_agent_reward,sum_agent_rewards,total_deaths,total_rejected,total_infected
1,-266.3354502434212,-799.0063507302635,1087,4335,45671.16350532837
2,-243.97209677774492,-731.9162903332348,751,2465,46422.35443062467
3,-273.46492631402106,-820.3947789420631,922,3336,45336.8154902993
4,-252.875832860443,-758.6274985813291,1137,4553,44777.55032438308
5,-272.7398480256299,-818.2195440768896,1017,3913,44607.1768416338
6,-223.9683274277105,-671.9049822831315,746,2154,46478.64165656034
7,-138.64642083453654,-415.9392625036096,558,855,46949.783230228335
8,-242.83777124002714,-728.5133137200814,1048,4271,45063.811395098186
9,-284.863215589213,-854.5896467676389,984,3780,44430.174512975485
10,-258.91984574100235,-776.7595372230071,975,3665,45169.79452255675
11,-284.96922325193054,-854.9076697557916,1107,4437,44833.75083683249
12,-264.1206787870041,-792.3620363610123,962,3830,44749.84424961518
13,-270.1695641565754,-810.5086924697263,1116,4688,45398.25929259787
14,-254.6834770736085,-764.0504312208254,1060,4035,45279.04544978094
15,-270.3973070505937,-811.1919211517812,1054,4290,45048.954753411046
16,-235.4132858084951,-706.2398574254853,838,2645,45566.98069665917
17,-260.2384480172107,-780.7153440516322,1095,4422,45188.936212525565
18,-256.7573623684428,-770.2720871053284,1008,4010,44756.57890045718
19,-267.3174961776724,-801.9524885330172,928,3419,45175.83675185858
20,-138.48379771784232,-415.45139315352696,602,1033,47464.39230550771
21,-261.42416925422486,-784.2725077626746,888,3122,45278.70903316662
22,-230.26171627395192,-690.7851488218557,944,3500,44460.51164495603
23,-259.0988719968948,-777.2966159906844,953,3693,44831.28971706149
24,-268.6657373145909,-805.9972119437728,1005,4072,44946.40059163764
25,-205.36762921590636,-616.1028876477191,698,1922,45976.33782192104
26,-252.7360623881742,-758.2081871645225,983,3721,45301.78073329682
27,-253.73791786647382,-761.2137535994215,1019,3773,44575.446935446715
28,-249.7047426079781,-749.1142278239342,902,3174,45439.37000291727
29,-211.81657661362377,-635.4497298408713,751,2437,44786.396513680345
30,-174.6535465546383,-523.9606396639149,684,1842,46541.66945744156
31,-270.4502536660692,-811.3507609982076,1123,4593,45625.357660716436
32,-173.00767075598594,-519.0230122679578,597,1058,46578.59208830943
33,-271.58754639886433,-814.762639196593,865,3285,44645.44883230797
34,-148.09722952728524,-444.2916885818557,699,1698,46810.79155231099
35,-222.56100104685467,-667.683003140564,824,2785,45204.096307076004
36,-297.9663855482498,-893.8991566447494,1115,4481,45735.77105621745
37,-197.5143519370746,-592.5430558112238,728,2316,45259.82831926353
38,-270.76460635853226,-812.2938190755968,1072,4305,45626.1481327594
39,-256.0992257060489,-768.2976771181468,1178,4825,45408.424515287115
40,-271.87679159614396,-815.6303747884319,1129,4881,45118.322612096126
41,-245.14194673134935,-735.4258401940481,963,3504,45329.15701300012
42,-214.45422711380218,-643.3626813414065,958,3418,45748.97040101565
43,-274.84925863627865,-824.547775908836,1124,4548,45886.041221080646
44,-222.9267276860244,-668.7801830580732,889,3013,45465.6318485057
45,-220.0056466682394,-660.0169400047182,791,2427,45699.97161012421
46,-248.7032679319681,-746.1098037959043,1041,3846,45755.95146368349
47,-256.5407018101266,-769.6221054303799,1039,4121,44552.325517607016
48,-294.1392426788013,-882.4177280364038,1087,4466,45658.78955328828
49,-222.28249924291677,-666.8474977287503,893,3190,45592.106312173724
50,-240.87652588313563,-722.6295776494069,1163,4662,45491.83486108218
51,-235.68745798045617,-707.0623739413685,871,2977,44542.79210030507
52,-247.89353075017573,-743.6805922505272,968,3711,44931.41811806503
53,-269.92443516939665,-809.7733055081899,1078,4197,44712.92715151585
54,-222.24184899255363,-666.7255469776609,753,2581,45099.25845527846
55,-249.1472140999314,-747.4416422997942,1062,4335,45069.28500042018
56,-272.3051306932808,-816.9153920798424,1188,4961,46582.82112699225
57,-168.3486302642996,-505.04589079289883,666,1384,45577.96920109759
58,-237.17578218269355,-711.5273465480807,965,3477,45248.4009446116
59,-198.76817248371302,-596.3045174511391,774,2443,45176.13532760676
60,-274.4935139727522,-823.4805419182567,1058,4240,45084.89782992715
61,-233.5961720218955,-700.7885160656865,1039,4101,44955.57260222973
62,-172.60590328157878,-517.8177098447363,758,2349,44628.390271449505
63,-255.07080156092977,-765.2124046827893,1074,4493,45081.81085865448
64,-204.76659066435707,-614.2997719930712,793,2773,43992.029728498615
65,-287.24925878324535,-861.7477763497361,1024,4160,44963.081103154866
66,-166.42668138162816,-499.28004414488447,610,1478,45622.834463482424
67,-257.7270341306542,-773.1811023919626,1048,3929,45801.23541466477
68,-177.3499540945437,-532.0498622836311,657,1679,44989.8630763522
69,-249.45454946730365,-748.363648401911,958,3620,45356.65115496509
70,-226.2274314685452,-678.6822944056356,804,2727,44827.47794925616
71,-265.65324534976907,-796.9597360493073,1205,5009,45094.8278887265
72,-257.16141271954376,-771.4842381586313,978,3607,45220.47231274814
73,-177.4609630700941,-532.3828892102823,746,2239,46520.200673076484
74,-240.53419025262858,-721.6025707578857,1047,4316,45444.968780637966
75,-177.34571411459697,-532.037142343791,731,2075,46667.08743959561
76,-261.8616916819568,-785.5850750458704,925,3554,45134.6680751658
77,-194.27726154300672,-582.8317846290201,724,2190,45497.76049930504
78,-236.95652288360793,-710.8695686508238,920,3286,44701.652918885986
79,-261.46777438444275,-784.4033231533282,1092,4477,45792.12428403272
80,-252.36403470763602,-757.092104122908,983,3723,45382.698839540004
81,-144.9260579360147,-434.77817380804413,546,929,46743.58576104286
82,-147.9901508554092,-443.97045256622766,584,1126,45193.3435465393
83,-201.24704252887855,-603.7411275866357,720,2134,46439.17571973519
84,-271.13294362020775,-813.3988308606233,1117,4399,45531.01794177877
85,-271.2920156342311,-813.8760469026934,1052,4163,45291.67104543231
86,-255.58703590537732,-766.761107716132,860,2936,45080.55082474764
87,-182.33008420018726,-546.9902526005618,795,2582,44720.50952221245
88,-89.53836964372668,-268.61510893118003,548,768,47565.91196135556
89,-237.16008515284602,-711.4802554585381,1012,3736,45525.574251964455
90,-229.53594752633725,-688.6078425790117,892,3208,45532.71387798367
91,-271.89379248673316,-815.6813774601994,1002,3890,45011.93260736274
92,-229.34107914966194,-688.0232374489858,804,2751,45352.210531817276
93,-207.18012251423906,-621.5403675427171,944,3364,45789.015955454466
94,-221.93839045593145,-665.8151713677944,1026,4047,45322.65560304539
95,-215.8116815417114,-647.4350446251342,791,2536,45947.49430304105
96,-247.3382544430664,-742.0147633291992,891,3288,45362.35171133403
97,-217.4141015352944,-652.2423046058832,982,3665,45205.894867783536
98,-155.29900360465248,-465.8970108139574,564,1045,45685.91065002041
99,-222.75423943719258,-668.2627183115777,959,3495,45636.75006857249
100,-186.46394417645138,-559.3918325293541,934,3386,45560.724941057655
101,-193.2398344244656,-579.7195032733969,822,2654,46258.408072946295
102,-233.7554125436086,-701.2662376308258,865,3073,45255.45801688801
103,-249.16772850412386,-747.5031855123716,1107,4580,45755.45651325375
104,-156.48909111414653,-469.4672733424396,590,1294,44879.199485245146
105,-253.55137964505047,-760.6541389351514,991,3664,45682.49929169972
106,-234.46437616219848,-703.3931284865954,1021,4065,45077.96465152697
107,-219.53749207540375,-658.6124762262112,797,2676,45390.47063017824
108,-152.4888069066399,-457.4664207199197,661,1623,46266.23219118107
109,-203.03876210250723,-609.1162863075217,868,2896,45665.06641391783
110,-233.78036641625522,-701.3410992487657,1086,4138,45177.590586984916
111,-212.06148683365583,-636.1844605009675,804,2768,45492.9875758905
112,-238.44653816836913,-715.3396145051074,1154,4589,45903.04213136883
113,-158.9085807573534,-476.7257422720602,676,1726,45156.575050541214
114,-155.09239550916425,-465.27718652749274,651,1557,46155.48796995622
115,-236.88287866509984,-710.6486359952995,1003,3726,45319.66599582241
116,-128.80298477036044,-386.4089543110813,760,2161,46481.473430770726
117,-236.27202302810636,-708.8160690843191,952,3591,45061.74739216587
118,-221.08617700258148,-663.2585310077444,901,3420,45536.87604097503
119,-200.8781667224206,-602.6345001672618,839,2748,45886.905909431676
120,-136.64638111655353,-409.9391433496606,621,1204,46935.041646962054
121,-267.79141494188434,-803.374244825653,1102,4427,46086.337024620356
122,-225.43220358581388,-676.2966107574416,939,3303,45590.09673075774
123,-206.62633122893726,-619.8789936868118,1049,3873,45542.375305160676
124,-240.75128045783308,-722.2538413734992,1046,4070,45693.97435402826
125,-192.36717079678934,-577.101512390368,766,2610,45733.21463887121
126,-212.66244028471567,-637.987320854147,757,2497,44683.22376438237
127,-215.71012908000296,-647.1303872400089,829,2505,46425.69947077958
128,-235.71537544329308,-707.1461263298793,904,3288,45234.14399582322
129,-224.3544979158573,-673.0634937475719,872,3040,45153.075226321715
130,-205.98983975225124,-617.9695192567538,778,2303,46459.564093458735
131,-130.15525972185955,-390.4657791655786,614,1472,46442.2680633251
132,-191.03775322925432,-573.1132596877629,723,2080,45767.81180180266
133,-211.5766485875307,-634.7299457625921,958,3621,45522.57847962121
134,-220.7524859933812,-662.2574579801436,893,3103,46586.63958002896
135,-208.48575570609194,-625.4572671182758,1010,3820,45732.156439807826
136,-226.8181359293507,-680.4544077880521,922,3418,45531.054671175305
137,-108.95253568638049,-326.85760705914146,582,926,46769.88658339603
138,-232.61245763246816,-697.8373728974045,1019,3802,45376.504792506705
139,-180.79952472078875,-542.3985741623662,697,1974,45562.56034527459
140,-104.33990973326962,-313.01972919980886,564,843,46940.83856906336
141,-151.32403334010567,-453.97210002031704,713,1793,46206.01940531849
142,-211.9085269282598,-635.7255807847794,817,2665,45702.52309957809
143,-229.8395981928179,-689.5187945784537,884,3312,44861.74100429241
144,-139.15472685435773,-417.4641805630732,639,1193,47261.91256997806
145,-216.68783662540974,-650.0635098762292,764,2336,45770.489001573944
146,-156.5263159068467,-469.57894772054004,647,1456,45564.83477849381
147,-103.57052172354507,-310.7115651706352,689,1660,46259.485143754064
148,-184.05497949992898,-552.1649384997869,774,2217,46067.981692644214
149,-115.79594270747208,-347.38782812241624,545,864,46807.56977105506
150,-162.03993414465964,-486.1198024339789,740,2156,45779.33998712581
151,-232.87267378544993,-698.6180213563498,915,3197,46290.4698536165
152,-132.4966099552569,-397.48982986577073,659,1360,46308.130685838994
153,-104.37403539809179,-313.1221061942754,615,1090,47350.049311783856
154,-156.27882103599666,-468.83646310798997,618,1509,44433.39032863158
155,-191.62474208931903,-574.874226267957,743,2244,45458.13298317453
156,-200.8213554531029,-602.4640663593087,772,2450,45095.17943381371
157,-83.9252263178448,-251.77567895353442,582,751,48085.95882701632
158,-213.55167114451444,-640.6550134335433,793,2417,46016.38637497991
159,-111.0808693023536,-333.2426079070608,550,707,45646.872996962826
160,-146.0336922658,-438.10107679739997,720,1855,45879.57556026657
161,-209.04890462648416,-627.1467138794525,753,2481,45410.11104217778
162,-173.26079106919534,-519.782373207586,626,1411,46315.23369824684
163,-108.89066015967786,-326.6719804790336,599,1016,47048.82215227538
164,-135.43614515724627,-406.3084354717388,659,1242,46754.41288874381
165,-79.18917735279219,-237.56753205837657,559,592,47295.76273536069
166,-184.2264985194776,-552.6794955584328,711,1797,46014.849584441174
167,-137.32333780779177,-411.9700134233753,643,1540,45515.3278648516
168,-144.36665386093284,-433.0999615827985,688,1728,46405.30408334052
169,-174.40660156813576,-523.2198047044072,806,2514,46220.2636860174
170,-229.32312650407425,-687.9693795122228,881,3190,45430.05392955808
171,-106.99155418956366,-320.974662568691,651,1184,46754.228162614156
172,-222.25409567759903,-666.7622870327971,869,2972,46084.07210318813
173,-133.40796891688805,-400.2239067506642,567,801,46846.42182066905
174,-81.53536560797095,-244.60609682391282,554,705,47115.75476785288
175,-169.90153974903842,-509.70461924711526,735,2220,46189.1750436794
176,-93.81292436651769,-281.4387730995531,535,591,47032.601390111464
177,-112.38813255186567,-337.164397655597,565,700,48000.39093023534
178,-176.27510888482814,-528.8253266544845,836,2591,46159.335486008335
179,-129.52568575196486,-388.5770572558946,540,943,44336.55482022376
180,-139.97328603594886,-419.91985810784655,642,1526,46081.634896553216
181,-127.69283781930194,-383.07851345790584,592,890,46948.93350215042
182,-47.54072956183916,-142.62218868551747,552,619,47439.70042813528
183,-147.58878443266752,-442.76635329800257,823,2489,45446.07994128401
184,-59.02810676099526,-177.08432028298577,525,685,46385.6123225537
185,-132.93947133812225,-398.81841401436674,614,1494,43472.81145197888
186,-199.37093227864852,-598.1127968359456,708,2082,46309.888725272474
187,-109.70844604969328,-329.1253381490798,505,814,45017.367752875754
188,-48.35367580295244,-145.0610274088573,519,650,46095.714682466096
189,-113.9605164648973,-341.8815493946919,705,1652,47325.36856479462
190,-95.19140394928284,-285.5742118478485,539,623,46860.5488843406
191,-79.3122706776991,-237.9368120330973,484,635,47320.03430392792
192,-91.55703666816703,-274.6711100045011,544,556,46806.14508301519
193,-41.95982301441551,-125.87946904324653,513,633,46526.7563182694
194,-222.78342223573122,-668.3502667071937,936,3328,45407.36034253535
195,-104.85487474492503,-314.56462423477507,533,848,46010.16400655429
196,-65.43815598394373,-196.3144679518312,541,495,46902.029981563726
197,-107.8923344464913,-323.6770033394739,676,1535,46658.778104530975
198,-116.28966076204237,-348.8689822861271,662,1959,44720.18844621839
199,-73.45686534159921,-220.37059602479763,565,691,47489.219599557524
200,-178.667740377,-536.003221131,871,3021,45474.53959453768
201,-47.86858726813901,-143.60576180441703,603,932,47764.78204114659
202,-58.22294543042898,-174.66883629128694,533,581,46319.37467988947
203,-164.7015196557558,-494.10455896726734,762,2475,45367.4332154182
204,-111.95904361061555,-335.87713083184667,675,1451,47146.00365625968
205,-140.1593625735084,-420.4780877205252,540,945,45046.181016439965
206,-149.130880162988,-447.39264048896405,666,1365,47087.29105970473
207,-145.06514490661345,-435.19543471984036,699,1899,45011.42570558613
208,-48.599345162490486,-145.79803548747145,572,562,48035.600192249934
209,-144.7461447571396,-434.2384342714188,616,1372,46509.80687714474
210,-151.52744342749858,-454.5823302824957,699,2022,45878.78757610826
211,-38.08997047907067,-114.26991143721202,535,566,46926.27036143822
212,-67.21933040447927,-201.6579912134378,602,717,48050.82588412687
213,-188.75598738688666,-566.26796216066,707,1976,44964.50433212438
214,-27.7641268418059,-83.2923805254177,557,730,46482.43339712781
215,-102.47814531053915,-307.43443593161743,616,1144,45716.27736154992
216,-82.55340046919548,-247.66020140758644,637,1108,47684.41769732494
217,-81.83536605503174,-245.50609816509524,518,517,47526.43565263747
218,-43.20562356890798,-129.61687070672394,599,671,48649.15582856738
219,-39.30914463524416,-117.92743390573247,572,853,47164.9663599541
220,-43.52442564734927,-130.5732769420478,509,582,46543.21326331535
221,-98.5571172784595,-295.6713518353785,561,1107,44044.28036509097
222,-94.85676836285297,-284.57030508855894,592,785,48266.71904659598
223,-50.13746017767019,-150.41238053301058,593,744,47772.597178262404
224,-171.61061584921376,-514.8318475476412,972,3547,45346.9484210939
225,-122.24704022752205,-366.74112068256613,726,2022,45875.7500336409
226,-91.48070358888401,-274.44211076665204,576,584,47976.94422733838
227,-80.15656892678136,-240.4697067803441,577,902,46641.81417775114
228,-99.36462583443377,-298.0938775033013,625,1398,46034.023986917084
229,-50.25115962288015,-150.75347886864046,572,615,47933.99057761495
230,-57.573937962972074,-172.72181388891622,565,756,46264.728340818445
231,-66.57476328657705,-199.72428985973116,547,640,48239.56366302307
232,-162.56085388381362,-487.6825616514409,816,2672,45538.13340713296
233,-57.50633183328094,-172.51899549984282,533,568,46957.56714069963
234,-68.61998819940129,-205.85996459820387,566,806,46808.18534537761
235,-88.44674301369069,-265.34022904107206,554,649,47015.84747003641
236,-59.14047283003753,-177.4214184901126,565,972,45752.890162774245
237,-91.07344269573821,-273.2203280872146,582,502,48023.73801177454
238,-77.36071173886997,-232.0821352166099,516,648,45843.78251967405
239,-95.59815682075224,-286.7944704622567,520,812,46275.3131062265
240,-158.7227818627637,-476.1683455882911,716,2087,45384.5538741993
241,-106.56844812938556,-319.7053443881567,628,1299,45145.090682917966
242,-106.56651313072565,-319.699539392177,566,664,47915.16227697017
243,-149.45724112446183,-448.3717233733855,584,1339,43149.12273940211
244,-87.55492734567758,-262.66478203703275,517,584,47586.90285309815
245,-50.01102214352761,-150.03306643058283,546,447,48093.70608219038
246,-17.615305648771272,-52.845916946313814,571,563,47864.01851750188
247,-70.11808599983293,-210.35425799949877,466,623,44558.685138272456
248,-60.49225252827316,-181.4767575848195,550,527,47791.8167170598
249,-37.58479913106792,-112.75439739320375,527,555,46557.702575929296
250,-108.27826231818035,-324.8347869545411,487,660,43955.07912591863
251,-25.810899082873153,-77.43269724861946,537,333,48701.41034187979
252,-62.74671692771553,-188.2401507831466,562,683,47548.30618984502
253,-55.955558407226874,-167.86667522168062,504,390,47643.30614435034
254,-99.65420702359518,-298.96262107078553,457,577,44247.564390630745
255,-41.53153742070429,-124.59461226211288,616,944,47210.07662818677
256,-142.5873088444446,-427.76192653333385,627,1548,45278.97158061977
257,-83.61834883826079,-250.85504651478237,572,628,47957.63616856666
258,-78.30424055298293,-234.9127216589488,565,626,47661.84095601164
259,-74.38618680666816,-223.15856042000448,601,1098,47272.583704298966
260,-76.33309898842133,-228.99929696526397,567,510,48392.009849405884
261,-88.05346179385269,-264.16038538155806,521,446,47982.635671977136
262,-45.19466915098128,-135.58400745294384,560,499,48273.65318049631
263,-67.05464995723446,-201.16394987170338,459,513,44295.948369057885
264,-130.06188557698,-390.18565673093997,761,2185,45663.55455973193
265,-76.73183820073925,-230.19551460221774,563,526,48965.8563227512
266,-134.62809508547335,-403.88428525642,505,726,43990.830283013835
267,-88.79559595112806,-266.3867878533842,583,532,48414.73561046268
268,-63.05361055623064,-189.1608316686919,534,462,47868.21340446728
269,-74.56276724068164,-223.6883017220449,553,590,48135.49106639893
270,-60.19096386344779,-180.57289159034337,609,1194,47054.76256516422
271,-137.02802018265746,-411.08406054797234,642,1471,46238.52691526199
272,-77.50602256708237,-232.5180677012471,560,671,47874.15555168765
273,-79.83725652524411,-239.51176957573233,613,948,47995.53704254485
274,-65.14618605102352,-195.43855815307057,557,747,46646.28452124081
275,-38.55402961999307,-115.6620888599792,560,357,48893.78835160884
276,-36.02830109276373,-108.0849032782912,560,750,46840.879347392
277,-38.26566342647566,-114.79699027942699,553,348,48879.32847627382
278,-59.994505523979704,-179.9835165719391,600,1024,47316.59182013045
279,-60.53954835553915,-181.61864506661743,582,528,48797.68392156933
280,-65.72497549249051,-197.17492647747156,575,861,47577.70880913233
281,-103.03946751261891,-309.11840253785675,643,1419,46146.109086823
282,-63.20227997424257,-189.60683992272772,582,1078,46188.50271539811
283,-49.68050592786856,-149.04151778360568,540,561,47837.89988541629
284,-69.40722529255989,-208.22167587767967,565,619,48600.841076430625
285,-47.32113973856198,-141.96341921568595,633,927,47705.842534214484
286,-69.08237007479887,-207.24711022439664,609,600,48145.51713384214
287,-154.89917076449575,-464.69751229348725,749,2329,45948.81978300241
288,-78.84957774528532,-236.54873323585593,606,955,46799.48933719762
289,-85.66791362064994,-257.00374086194984,567,610,48377.801191354854
290,-75.09021657356924,-225.2706497207077,584,875,46393.89933034947
291,-48.79914648583179,-146.39743945749538,575,571,48155.32982589694
292,-113.59205082096315,-340.77615246288946,614,819,47504.904688635856
293,-86.66257932654072,-259.9877379796222,580,674,47658.05868382203
294,-79.7738593432311,-239.32157802969328,597,814,47342.48687136242
295,-71.10853061750068,-213.32559185250201,638,1273,46600.692771656504
296,-47.6251001039368,-142.8753003118104,590,673,48565.838920148686
297,-61.33392815103312,-184.00178445309936,595,751,48584.470916958344
298,-33.117067241775956,-99.35120172532787,583,406,48885.48048147936
299,-116.98307522743507,-350.9492256823052,617,594,48455.93366440764
300,-85.02517994319429,-255.07553982958285,586,673,47703.0461929224
301,-128.26050590677406,-384.7815177203222,664,1753,46192.848244828674
302,-89.89487579968123,-269.6846273990437,616,1192,46391.01203938996
303,-50.68501543214321,-152.05504629642962,579,427,48949.488355786685
304,-47.149158591728565,-141.4474757751857,612,919,47404.48548071038
305,-93.01305684942618,-279.03917054827855,629,1421,45964.06706326067
306,-16.918420052261002,-50.755260156783,591,507,48600.93467020433
307,-39.06403226200382,-117.19209678601146,592,719,47724.95873729486
308,-76.8182621278648,-230.4547863835944,671,1659,46532.740251473464
309,-81.73251377611074,-245.1975413283322,586,892,46461.30065427714
310,-41.87359391465902,-125.62078174397706,565,654,47886.840706446004
311,-68.07068412158128,-204.21205236474384,593,824,46447.79589163527
312,-63.139760202559124,-189.41928060767736,594,887,47331.71361530812
313,-50.77343620814367,-152.32030862443102,574,482,48731.746702711745
314,-105.2347832528438,-315.7043497585314,613,1294,45571.746689170766
315,-36.96071484214841,-110.88214452644524,631,1007,48144.92175377675
316,-51.53238113965503,-154.5971434189651,555,540,48076.137737129095
317,-46.86348607519312,-140.59045822557937,605,1103,47527.58242936116
318,-33.29485788051093,-99.8845736415328,603,486,48681.12554021346
319,-58.490900182931775,-175.47270054879533,561,767,47464.418476819636
320,-92.14201828649215,-276.42605485947644,637,1263,46974.865860704354
321,-84.51780427840787,-253.55341283522358,626,748,48259.663656730394
322,-136.40198906811287,-409.2059672043386,698,2042,44942.93206897926
323,-61.6469276651986,-184.94078299559578,597,322,49173.184387737245
324,-54.59460430527406,-163.78381291582218,558,666,47149.38509201693
325,-53.428972176729026,-160.28691653018709,612,891,47197.54735666555
326,-40.5335657635976,-121.6006972907928,571,472,48573.55820648457
327,-78.4015627873688,-235.20468836210642,572,684,47234.82727718871
328,-53.11763302795648,-159.35289908386943,547,479,48568.52336040175
329,-57.83278412770645,-173.49835238311934,596,1155,45354.260885806725
330,-76.18695427116154,-228.56086281348462,570,773,46901.77969673259
331,-65.53089991318588,-196.59269973955764,571,459,48506.36728595049
332,-52.22161326870323,-156.66483980610968,577,585,47512.206115124965
333,-7.472261641775158,-22.416784925325473,555,464,48349.81702058054
334,-42.796181587435406,-128.38854476230622,593,1040,46494.91059132122
335,-63.657284584816445,-190.97185375444934,597,637,48571.50121568225
336,-51.27111562553259,-153.81334687659776,601,392,49061.79084719064
337,-79.26509026221233,-237.795270786637,590,605,48514.45632956853
338,-57.11096118698518,-171.33288356095554,623,788,48166.81895789406
339,-45.48189228303761,-136.44567684911283,586,562,48664.926861608954
340,-59.79222633591885,-179.37667900775654,635,1079,47755.51077699675
341,-25.617939703776567,-76.8538191113297,554,532,47838.21983016533
342,-30.267000399630728,-90.80100119889218,564,436,48635.786651884
343,-19.329708934547504,-57.98912680364251,582,381,49224.63980797933
344,-74.70154268559175,-224.10462805677525,568,427,48435.56219740366
345,-72.95510677502824,-218.86532032508472,580,462,49188.564985301855
346,-31.686294608862102,-95.05888382658631,604,484,48751.356556995466
347,-55.10062583410582,-165.30187750231747,567,412,48942.88538101657
348,-24.110174768589804,-72.33052430576942,608,863,48041.223874631396
349,-52.47989487967758,-157.43968463903275,611,595,48523.56683842444
350,-22.387617687996514,-67.16285306398954,562,360,48926.51914518501
351,-9.415942108826714,-28.24782632648014,560,548,47595.2965697964
352,-67.74565585347135,-203.23696756041403,562,569,48086.37892777486
353,-23.870778480580082,-71.61233544174024,598,245,49450.88055746008
354,-27.045037792690106,-81.13511337807032,574,602,48763.59320315342
355,-25.328196361545068,-75.9845890846352,581,571,48222.885499695796
356,-64.7663701080704,-194.2991103242112,697,1730,46589.27776351457
357,-23.12470207544771,-69.37410622634313,575,488,48003.2759332994
358,-40.19460187091921,-120.58380561275763,624,534,49116.600115107954
359,-45.111236674788664,-135.33371002436598,605,886,46601.49715265576
360,-60.671680613801556,-182.01504184140467,631,782,48017.01231259397
361,13.089630762554643,39.26889228766393,576,413,48656.77210074905
362,-20.048179234315196,-60.14453770294559,644,995,48285.40244340123
363,-14.388185606279897,-43.16455681883969,591,383,49229.57379333019
364,-53.97615262549076,-161.9284578764723,587,424,48601.20356095274
365,-44.286042052636105,-132.85812615790832,593,527,48043.960936565025
366,-16.747411915024056,-50.24223574507217,605,631,48634.98750156058
367,-35.30476754487883,-105.91430263463648,663,1084,47571.20772732668
368,-6.8673838936950204,-20.60215168108506,581,479,48382.660297808165
369,-43.072881625694556,-129.21864487708368,572,288,49442.49271394942
370,-30.366928398116062,-91.10078519434819,583,440,48865.445139502255
371,-40.68217070240068,-122.04651210720205,584,537,47755.10527806835
372,-49.96567141583265,-149.89701424749796,610,669,48709.209176759054
373,-43.489581199346695,-130.46874359804008,546,392,48730.168213961384
374,-12.272958878759482,-36.818876636278446,629,595,48840.28864568446
375,-19.65893963836584,-58.976818915097525,572,544,48623.01725236688
376,5.21527295479449,15.645818864383472,559,488,48774.4457042219
377,-65.10071932814819,-195.30215798444456,626,937,46913.402378253966
378,-31.423711144756936,-94.27113343427081,639,530,48848.95690813779
379,-28.85862206005434,-86.57586618016302,607,538,48734.42410115842
380,-15.937446098288985,-47.812338294866954,593,359,49185.62656619748
381,-28.245731698585768,-84.7371950957573,587,542,48550.13525086938
382,-36.247281259852,-108.741843779556,645,836,47941.16062170216
383,-53.578154749221596,-160.7344642476648,561,530,48021.180357209334
384,-39.16860461403626,-117.50581384210878,552,282,49122.73544458797
385,-2.997313387490324,-8.991940162470971,587,551,48354.384224234556
386,-1.270197884752914,-3.810593654258742,587,508,48950.798978350904
387,-24.768852203907617,-74.30655661172285,601,477,48918.61172108317
388,-59.63607651792864,-178.90822955378593,610,512,49112.16197793724
389,-14.244943383317704,-42.73483014995311,573,383,48701.24206972916
390,-71.83703666883176,-215.51111000649527,654,674,49048.26317041247
391,-65.38963714123604,-196.1689114237081,596,449,49036.7603098371
392,-21.49735968414437,-64.49207905243311,604,477,49058.09346295234
393,-24.094446345808446,-72.28333903742534,635,691,48701.12132099054
394,-34.22255302745202,-102.66765908235607,624,779,48553.657136865855
395,-37.26353613661988,-111.79060840985963,562,428,48906.33118265057
396,-18.64461861294723,-55.93385583884169,632,925,47426.74180911242
397,-17.14716728155518,-51.44150184466554,579,447,48609.98446126721
398,-46.33581073535697,-139.00743220607092,607,619,48687.32120775709
399,-31.62608148413081,-94.87824445239244,566,364,48924.89348580416
400,-46.48050246613017,-139.4415073983905,632,911,47895.52436961633
401,-36.40398341161476,-109.21195023484428,599,547,48758.72114234871
402,-46.211364920288624,-138.63409476086588,590,406,48927.97097969244
403,-35.40699236482721,-106.22097709448164,604,646,48471.006501110816
404,-46.84820751009073,-140.5446225302722,572,360,48980.04592584964
405,-18.125679089886606,-54.377037269659816,555,339,48908.153838921105
